Mass(GeV),Counts
4.033333333333332860e+01,4.110000000000000000e+03
4.100000000000000000e+01,3.893000000000000000e+03
4.166666666666667140e+01,3.602000000000000000e+03
4.233333333333332860e+01,3.784000000000000000e+03
4.300000000000000000e+01,3.567000000000000000e+03
4.366666666666667140e+01,3.455000000000000000e+03
4.433333333333332860e+01,3.296000000000000000e+03
4.500000000000000000e+01,3.182000000000000000e+03
4.566666666666667140e+01,3.131000000000000000e+03
4.633333333333332860e+01,3.041000000000000000e+03
4.700000000000000000e+01,2.945000000000000000e+03
4.766666666666667140e+01,2.777000000000000000e+03
4.833333333333332860e+01,2.728000000000000000e+03
4.900000000000000000e+01,2.367000000000000000e+03
4.966666666666666430e+01,1.688000000000000000e+03
5.033333333333332860e+01,7.500000000000000000e+02
5.100000000000000000e+01,2.800000000000000000e+02
5.166666666666666430e+01,1.060000000000000000e+02
5.233333333333332860e+01,5.500000000000000000e+01
5.300000000000000000e+01,2.400000000000000000e+01
5.366666666666666430e+01,1.500000000000000000e+01
5.433333333333332860e+01,2.200000000000000000e+01
5.500000000000000000e+01,6.000000000000000000e+00
5.566666666666666430e+01,6.000000000000000000e+00
5.633333333333332860e+01,7.000000000000000000e+00
5.700000000000000000e+01,7.000000000000000000e+00
5.766666666666666430e+01,5.000000000000000000e+00
5.833333333333332860e+01,4.000000000000000000e+00
5.900000000000000000e+01,4.000000000000000000e+00
5.966666666666666430e+01,6.000000000000000000e+00
6.033333333333332860e+01,0.000000000000000000e+00
6.100000000000000000e+01,2.000000000000000000e+00
6.166666666666666430e+01,2.000000000000000000e+00
6.233333333333332860e+01,4.000000000000000000e+00
6.300000000000000000e+01,2.000000000000000000e+00
6.366666666666666430e+01,0.000000000000000000e+00
6.433333333333332860e+01,1.000000000000000000e+00
6.500000000000000000e+01,3.000000000000000000e+00
6.566666666666665719e+01,1.000000000000000000e+00
6.633333333333332860e+01,3.000000000000000000e+00
6.700000000000000000e+01,1.000000000000000000e+00
6.766666666666665719e+01,2.000000000000000000e+00
6.833333333333332860e+01,2.000000000000000000e+00
6.900000000000000000e+01,2.000000000000000000e+00
6.966666666666665719e+01,0.000000000000000000e+00
7.033333333333332860e+01,4.000000000000000000e+00
7.100000000000000000e+01,0.000000000000000000e+00
7.166666666666665719e+01,2.000000000000000000e+00
7.233333333333332860e+01,4.000000000000000000e+00
7.300000000000000000e+01,6.000000000000000000e+00
7.366666666666665719e+01,2.000000000000000000e+00
7.433333333333332860e+01,0.000000000000000000e+00
7.500000000000000000e+01,1.000000000000000000e+00
7.566666666666665719e+01,1.000000000000000000e+00
7.633333333333332860e+01,2.000000000000000000e+00
7.700000000000000000e+01,1.000000000000000000e+00
7.766666666666665719e+01,1.000000000000000000e+00
7.833333333333332860e+01,1.000000000000000000e+00
7.900000000000000000e+01,0.000000000000000000e+00
7.966666666666665719e+01,0.000000000000000000e+00
8.033333333333332860e+01,0.000000000000000000e+00
8.100000000000000000e+01,1.000000000000000000e+00
8.166666666666665719e+01,1.000000000000000000e+00
8.233333333333332860e+01,0.000000000000000000e+00
8.300000000000000000e+01,1.000000000000000000e+00
8.366666666666665719e+01,0.000000000000000000e+00
8.433333333333332860e+01,1.000000000000000000e+00
8.500000000000000000e+01,1.000000000000000000e+00
8.566666666666665719e+01,1.000000000000000000e+00
8.633333333333332860e+01,0.000000000000000000e+00
8.700000000000000000e+01,0.000000000000000000e+00
8.766666666666665719e+01,0.000000000000000000e+00
8.833333333333332860e+01,1.000000000000000000e+00
8.900000000000000000e+01,0.000000000000000000e+00
8.966666666666665719e+01,1.000000000000000000e+00
9.033333333333332860e+01,0.000000000000000000e+00
9.100000000000000000e+01,0.000000000000000000e+00
9.166666666666665719e+01,0.000000000000000000e+00
9.233333333333332860e+01,2.000000000000000000e+00
9.300000000000000000e+01,2.000000000000000000e+00
9.366666666666665719e+01,2.000000000000000000e+00
9.433333333333332860e+01,2.000000000000000000e+00
9.500000000000000000e+01,0.000000000000000000e+00
9.566666666666665719e+01,0.000000000000000000e+00
9.633333333333332860e+01,0.000000000000000000e+00
9.700000000000000000e+01,0.000000000000000000e+00
9.766666666666665719e+01,0.000000000000000000e+00
9.833333333333332860e+01,1.000000000000000000e+00
9.900000000000000000e+01,1.000000000000000000e+00
9.966666666666665719e+01,0.000000000000000000e+00
1.003333333333333286e+02,0.000000000000000000e+00
1.010000000000000000e+02,0.000000000000000000e+00
1.016666666666666572e+02,3.000000000000000000e+00
