Mass(GeV),Counts
4.033333333333332860e+01,4.411000000000000000e+03
4.100000000000000000e+01,4.360000000000000000e+03
4.166666666666667140e+01,3.921000000000000000e+03
4.233333333333332860e+01,3.884000000000000000e+03
4.300000000000000000e+01,3.597000000000000000e+03
4.366666666666667140e+01,3.602000000000000000e+03
4.433333333333332860e+01,3.413000000000000000e+03
4.500000000000000000e+01,3.324000000000000000e+03
4.566666666666667140e+01,3.247000000000000000e+03
4.633333333333332860e+01,2.951000000000000000e+03
4.700000000000000000e+01,2.883000000000000000e+03
4.766666666666667140e+01,2.771000000000000000e+03
4.833333333333332860e+01,2.696000000000000000e+03
4.900000000000000000e+01,2.576000000000000000e+03
4.966666666666666430e+01,2.458000000000000000e+03
5.033333333333332860e+01,2.526000000000000000e+03
5.100000000000000000e+01,2.325000000000000000e+03
5.166666666666666430e+01,2.176000000000000000e+03
5.233333333333332860e+01,2.123000000000000000e+03
5.300000000000000000e+01,2.188000000000000000e+03
5.366666666666666430e+01,2.106000000000000000e+03
5.433333333333332860e+01,2.074000000000000000e+03
5.500000000000000000e+01,1.968000000000000000e+03
5.566666666666666430e+01,2.025000000000000000e+03
5.633333333333332860e+01,1.843000000000000000e+03
5.700000000000000000e+01,1.843000000000000000e+03
5.766666666666666430e+01,1.799000000000000000e+03
5.833333333333332860e+01,1.823000000000000000e+03
5.900000000000000000e+01,1.776000000000000000e+03
5.966666666666666430e+01,1.854000000000000000e+03
6.033333333333332860e+01,1.753000000000000000e+03
6.100000000000000000e+01,1.759000000000000000e+03
6.166666666666666430e+01,1.731000000000000000e+03
6.233333333333332860e+01,1.651000000000000000e+03
6.300000000000000000e+01,1.694000000000000000e+03
6.366666666666666430e+01,1.770000000000000000e+03
6.433333333333332860e+01,1.681000000000000000e+03
6.500000000000000000e+01,1.732000000000000000e+03
6.566666666666665719e+01,1.769000000000000000e+03
6.633333333333332860e+01,1.775000000000000000e+03
6.700000000000000000e+01,1.790000000000000000e+03
6.766666666666665719e+01,1.823000000000000000e+03
6.833333333333332860e+01,1.926000000000000000e+03
6.900000000000000000e+01,1.914000000000000000e+03
6.966666666666665719e+01,1.912000000000000000e+03
7.033333333333332860e+01,2.008000000000000000e+03
7.100000000000000000e+01,2.056000000000000000e+03
7.166666666666665719e+01,2.151000000000000000e+03
7.233333333333332860e+01,2.239000000000000000e+03
7.300000000000000000e+01,2.450000000000000000e+03
7.366666666666665719e+01,2.348000000000000000e+03
7.433333333333332860e+01,2.565000000000000000e+03
7.500000000000000000e+01,2.785000000000000000e+03
7.566666666666665719e+01,3.068000000000000000e+03
7.633333333333332860e+01,3.218000000000000000e+03
7.700000000000000000e+01,3.472000000000000000e+03
