Mass(GeV),Counts
4.033333333333332860e+01,5.094000000000000000e+03
4.100000000000000000e+01,5.192000000000000000e+03
4.166666666666667140e+01,5.303000000000000000e+03
4.233333333333332860e+01,5.128000000000000000e+03
4.300000000000000000e+01,5.146000000000000000e+03
4.366666666666667140e+01,5.297000000000000000e+03
4.433333333333332860e+01,5.289000000000000000e+03
4.500000000000000000e+01,5.453000000000000000e+03
4.566666666666667140e+01,5.309000000000000000e+03
4.633333333333332860e+01,5.311000000000000000e+03
4.700000000000000000e+01,5.447000000000000000e+03
4.766666666666667140e+01,5.324000000000000000e+03
4.833333333333332860e+01,5.337000000000000000e+03
4.900000000000000000e+01,5.273000000000000000e+03
4.966666666666666430e+01,5.289000000000000000e+03
5.033333333333332860e+01,5.309000000000000000e+03
5.100000000000000000e+01,5.324000000000000000e+03
5.166666666666666430e+01,5.323000000000000000e+03
5.233333333333332860e+01,5.292000000000000000e+03
5.300000000000000000e+01,5.290000000000000000e+03
5.366666666666666430e+01,5.406000000000000000e+03
5.433333333333332860e+01,5.458000000000000000e+03
5.500000000000000000e+01,5.294000000000000000e+03
5.566666666666666430e+01,5.268000000000000000e+03
5.633333333333332860e+01,5.358000000000000000e+03
5.700000000000000000e+01,5.289000000000000000e+03
5.766666666666666430e+01,5.303000000000000000e+03
5.833333333333332860e+01,5.197000000000000000e+03
5.900000000000000000e+01,5.258000000000000000e+03
5.966666666666666430e+01,5.346000000000000000e+03
6.033333333333332860e+01,5.228000000000000000e+03
6.100000000000000000e+01,5.295000000000000000e+03
6.166666666666666430e+01,5.259000000000000000e+03
6.233333333333332860e+01,5.073000000000000000e+03
6.300000000000000000e+01,5.188000000000000000e+03
6.366666666666666430e+01,5.229000000000000000e+03
6.433333333333332860e+01,5.264000000000000000e+03
6.500000000000000000e+01,5.128000000000000000e+03
6.566666666666665719e+01,5.221000000000000000e+03
6.633333333333332860e+01,5.033000000000000000e+03
6.700000000000000000e+01,5.145000000000000000e+03
6.766666666666665719e+01,5.102000000000000000e+03
6.833333333333332860e+01,4.900000000000000000e+03
6.900000000000000000e+01,5.178000000000000000e+03
6.966666666666665719e+01,4.935000000000000000e+03
7.033333333333332860e+01,4.758000000000000000e+03
7.100000000000000000e+01,4.935000000000000000e+03
7.166666666666665719e+01,4.944000000000000000e+03
7.233333333333332860e+01,4.810000000000000000e+03
7.300000000000000000e+01,4.749000000000000000e+03
7.366666666666665719e+01,4.707000000000000000e+03
7.433333333333332860e+01,4.895000000000000000e+03
7.500000000000000000e+01,4.898000000000000000e+03
7.566666666666665719e+01,4.720000000000000000e+03
7.633333333333332860e+01,4.523000000000000000e+03
7.700000000000000000e+01,4.456000000000000000e+03
7.766666666666665719e+01,4.619000000000000000e+03
7.833333333333332860e+01,4.549000000000000000e+03
7.900000000000000000e+01,4.479000000000000000e+03
7.966666666666665719e+01,4.543000000000000000e+03
8.033333333333332860e+01,4.462000000000000000e+03
8.100000000000000000e+01,4.524000000000000000e+03
8.166666666666665719e+01,4.366000000000000000e+03
8.233333333333332860e+01,4.364000000000000000e+03
8.300000000000000000e+01,4.381000000000000000e+03
8.366666666666665719e+01,4.237000000000000000e+03
8.433333333333332860e+01,4.403000000000000000e+03
8.500000000000000000e+01,4.317000000000000000e+03
8.566666666666665719e+01,4.274000000000000000e+03
8.633333333333332860e+01,4.256000000000000000e+03
8.700000000000000000e+01,4.120000000000000000e+03
8.766666666666665719e+01,4.002000000000000000e+03
8.833333333333332860e+01,4.061000000000000000e+03
8.900000000000000000e+01,4.026000000000000000e+03
8.966666666666665719e+01,4.063000000000000000e+03
9.033333333333332860e+01,4.020000000000000000e+03
9.100000000000000000e+01,3.963000000000000000e+03
9.166666666666665719e+01,3.859000000000000000e+03
9.233333333333332860e+01,3.908000000000000000e+03
9.300000000000000000e+01,3.853000000000000000e+03
9.366666666666665719e+01,3.882000000000000000e+03
9.433333333333332860e+01,3.706000000000000000e+03
9.500000000000000000e+01,3.822000000000000000e+03
9.566666666666665719e+01,3.828000000000000000e+03
9.633333333333332860e+01,3.726000000000000000e+03
9.700000000000000000e+01,3.714000000000000000e+03
9.766666666666665719e+01,3.636000000000000000e+03
9.833333333333332860e+01,3.500000000000000000e+03
9.900000000000000000e+01,3.600000000000000000e+03
9.966666666666665719e+01,3.527000000000000000e+03
1.003333333333333286e+02,3.468000000000000000e+03
1.010000000000000000e+02,3.487000000000000000e+03
1.016666666666666572e+02,3.338000000000000000e+03
1.023333333333333286e+02,3.396000000000000000e+03
1.030000000000000000e+02,3.361000000000000000e+03
1.036666666666666572e+02,3.311000000000000000e+03
1.043333333333333286e+02,3.302000000000000000e+03
1.050000000000000000e+02,3.289000000000000000e+03
1.056666666666666572e+02,3.252000000000000000e+03
1.063333333333333286e+02,3.200000000000000000e+03
1.070000000000000000e+02,3.161000000000000000e+03
1.076666666666666572e+02,3.176000000000000000e+03
1.083333333333333286e+02,3.152000000000000000e+03
1.090000000000000000e+02,3.088000000000000000e+03
1.096666666666666572e+02,3.017000000000000000e+03
1.103333333333333286e+02,3.064000000000000000e+03
1.110000000000000000e+02,2.947000000000000000e+03
1.116666666666666572e+02,2.979000000000000000e+03
1.123333333333333286e+02,2.927000000000000000e+03
1.130000000000000000e+02,2.975000000000000000e+03
1.136666666666666572e+02,2.847000000000000000e+03
1.143333333333333286e+02,2.810000000000000000e+03
1.150000000000000000e+02,2.770000000000000000e+03
1.156666666666666572e+02,2.888000000000000000e+03
1.163333333333333286e+02,2.703000000000000000e+03
1.170000000000000000e+02,2.794000000000000000e+03
1.176666666666666572e+02,2.713000000000000000e+03
1.183333333333333286e+02,2.662000000000000000e+03
1.190000000000000000e+02,2.616000000000000000e+03
1.196666666666666572e+02,2.616000000000000000e+03
