Mass(GeV),Counts
4.033333333333332860e+01,2.287000000000000000e+03
4.100000000000000000e+01,2.247000000000000000e+03
4.166666666666667140e+01,2.195000000000000000e+03
4.233333333333332860e+01,2.299000000000000000e+03
4.300000000000000000e+01,2.239000000000000000e+03
4.366666666666667140e+01,2.238000000000000000e+03
4.433333333333332860e+01,2.161000000000000000e+03
4.500000000000000000e+01,2.336000000000000000e+03
4.566666666666667140e+01,2.330000000000000000e+03
4.633333333333332860e+01,2.361000000000000000e+03
4.700000000000000000e+01,2.304000000000000000e+03
4.766666666666667140e+01,2.407000000000000000e+03
4.833333333333332860e+01,2.492000000000000000e+03
4.900000000000000000e+01,2.548000000000000000e+03
4.966666666666666430e+01,2.508000000000000000e+03
5.033333333333332860e+01,2.674000000000000000e+03
5.100000000000000000e+01,2.742000000000000000e+03
5.166666666666666430e+01,2.807000000000000000e+03
5.233333333333332860e+01,2.921000000000000000e+03
5.300000000000000000e+01,3.055000000000000000e+03
5.366666666666666430e+01,3.080000000000000000e+03
5.433333333333332860e+01,3.168000000000000000e+03
5.500000000000000000e+01,3.442000000000000000e+03
5.566666666666666430e+01,3.460000000000000000e+03
5.633333333333332860e+01,3.794000000000000000e+03
5.700000000000000000e+01,3.804000000000000000e+03
5.766666666666666430e+01,4.011000000000000000e+03
5.833333333333332860e+01,4.019000000000000000e+03
5.900000000000000000e+01,4.327000000000000000e+03
5.966666666666666430e+01,4.415000000000000000e+03
6.033333333333332860e+01,4.503000000000000000e+03
6.100000000000000000e+01,4.835000000000000000e+03
6.166666666666666430e+01,4.909000000000000000e+03
6.233333333333332860e+01,5.174000000000000000e+03
6.300000000000000000e+01,5.314000000000000000e+03
6.366666666666666430e+01,5.323000000000000000e+03
6.433333333333332860e+01,5.745000000000000000e+03
6.500000000000000000e+01,5.805000000000000000e+03
6.566666666666665719e+01,5.995000000000000000e+03
6.633333333333332860e+01,6.075000000000000000e+03
6.700000000000000000e+01,6.200000000000000000e+03
6.766666666666665719e+01,6.417000000000000000e+03
6.833333333333332860e+01,6.435000000000000000e+03
6.900000000000000000e+01,6.588000000000000000e+03
6.966666666666665719e+01,6.680000000000000000e+03
7.033333333333332860e+01,6.763000000000000000e+03
7.100000000000000000e+01,6.811000000000000000e+03
7.166666666666665719e+01,6.873000000000000000e+03
7.233333333333332860e+01,7.088000000000000000e+03
7.300000000000000000e+01,7.064000000000000000e+03
7.366666666666665719e+01,7.285000000000000000e+03
7.433333333333332860e+01,7.348000000000000000e+03
7.500000000000000000e+01,7.229000000000000000e+03
7.566666666666665719e+01,7.365000000000000000e+03
7.633333333333332860e+01,7.333000000000000000e+03
7.700000000000000000e+01,7.344000000000000000e+03
7.766666666666665719e+01,7.450000000000000000e+03
7.833333333333332860e+01,7.412000000000000000e+03
7.900000000000000000e+01,7.302000000000000000e+03
7.966666666666665719e+01,7.135000000000000000e+03
8.033333333333332860e+01,6.937000000000000000e+03
8.100000000000000000e+01,7.002000000000000000e+03
8.166666666666665719e+01,6.593000000000000000e+03
8.233333333333332860e+01,6.358000000000000000e+03
8.300000000000000000e+01,6.179000000000000000e+03
8.366666666666665719e+01,5.688000000000000000e+03
8.433333333333332860e+01,5.458000000000000000e+03
8.500000000000000000e+01,5.115000000000000000e+03
8.566666666666665719e+01,4.854000000000000000e+03
8.633333333333332860e+01,4.866000000000000000e+03
8.700000000000000000e+01,5.060000000000000000e+03
8.766666666666665719e+01,5.703000000000000000e+03
8.833333333333332860e+01,6.899000000000000000e+03
8.900000000000000000e+01,8.696000000000000000e+03
8.966666666666665719e+01,1.070800000000000000e+04
9.033333333333332860e+01,1.291900000000000000e+04
9.100000000000000000e+01,1.383400000000000000e+04
9.166666666666665719e+01,1.287600000000000000e+04
9.233333333333332860e+01,1.074200000000000000e+04
9.300000000000000000e+01,8.516000000000000000e+03
9.366666666666665719e+01,6.079000000000000000e+03
9.433333333333332860e+01,4.466000000000000000e+03
9.500000000000000000e+01,3.417000000000000000e+03
9.566666666666665719e+01,2.648000000000000000e+03
9.633333333333332860e+01,2.103000000000000000e+03
9.700000000000000000e+01,1.875000000000000000e+03
9.766666666666665719e+01,1.501000000000000000e+03
9.833333333333332860e+01,1.338000000000000000e+03
9.900000000000000000e+01,1.214000000000000000e+03
9.966666666666665719e+01,1.120000000000000000e+03
1.003333333333333286e+02,9.950000000000000000e+02
1.010000000000000000e+02,8.720000000000000000e+02
1.016666666666666572e+02,8.860000000000000000e+02
1.023333333333333286e+02,8.770000000000000000e+02
1.030000000000000000e+02,7.680000000000000000e+02
1.036666666666666572e+02,7.330000000000000000e+02
1.043333333333333286e+02,7.590000000000000000e+02
1.050000000000000000e+02,7.170000000000000000e+02
1.056666666666666572e+02,6.690000000000000000e+02
1.063333333333333286e+02,6.090000000000000000e+02
